product_category_name_english,total_revenue,total_transactions
health_beauty,1134382.47,6963
watches_gifts,1050878.84,4731
bed_bath_table,930061.42,7052
sports_leisure,863064.62,5797
computers_accessories,790901.08,5140
furniture_decor,663634.52,4546
housewares,603953.66,4369
auto,526629.04,3137
cool_stuff,460299.58,2361
toys,407423.51,2786
garden_tools,407341.95,2593
baby,388590.63,2252
telephony,305926.11,3087
perfumery,304243.02,2293
office_furniture,243543.47,858
stationery,226554.19,1908
computers,211671.49,166
pet_shop,193459.74,1288
electronics,165550.41,2183
musical_instruments,164328.77,498
construction_tools_construction,159504.64,717
fashion_bags_accessories,134965.16,1321
small_appliances,127133.32,426
consoles_games,114661.34,745
luggage_accessories,107224.85,668
home_appliances_2,106149.24,182
home_construction,87704.16,459
home_appliances,77454.48,582
agro_industry_and_commerce,71268.49,160
furniture_living_room,56946.27,281
kitchen_dining_laundry_garden_furniture,50272.92,199
small_appliances_home_oven_and_coffee,49123.5,70
fixed_telephony,48994.49,107
audio,47287.93,278
construction_tools_lights,46644.24,240
industry_commerce_and_business,42938.22,217
home_confort,42560.14,256
construction_tools_safety,42082.47,157
books_general_interest,40593.54,383
air_conditioning,39548.06,169
food,29424.76,384
drinks,25723.68,277
signaling_and_security,25492.57,122
costruction_tools_garden,23888.59,160
books_technical,20258.21,238
art,18813.3,174
food_drink,17594.77,185
furniture_bedroom,17079.239999999998,64
fashion_shoes,16963.08,126
costruction_tools_tools,16351.6,94
market_place,14521.76,141
christmas_supplies,11413.6,119
fashion_underwear_beach,7958.57,78
cine_photo,7436.01,58
fashion_male_clothing,6889.65,56
party_supplies,5201.97,37
music,5064.61,28
books_imported,4917.97,47
furniture_mattress_and_upholstery,4229.88,30
tablets_printing_image,2850.31,36
dvds_blu_ray,2316.17,32
arts_and_craftmanship,2008.92,21
diapers_and_hygiene,1895.2,24
flowers,1598.91,29
fashion_sport,1459.44,11
fashio_female_clothing,1297.85,13
la_cuisine,1188.79,5
home_comfort_2,583.85,15
cds_dvds_musicals,478.45,6
fashion_childrens_clothes,355.19,5
security_and_services,115.45,1
