seller_id,total_price,total_freight,total_orders,avg_review_score,total_revenue
001cca7ae9ae17fb1caed9dfb1094831,1966.8,870.41,13,3.3125,2837.21
002100f778ceb8431b7a1020ff7ab48f,167.5,75.11,5,3.2,242.61
004c9cd9d87a3c30c522c48c4fc07416,1701.51,453.04,14,3.466666666666667,2154.55
00720abe85ba0859807595bbf045a33b,773.5,276.0,11,3.8260869565217392,1049.5
00d8b143d12632bad99c0ad66ad52825,86.0,51.1,1,5.0,137.1
00ee68308b45bc5e2660cd833c3f81cc,5610.0,733.58,35,4.414634146341464,6343.58
00fc707aaaad2d31347cf883cd2dfe10,3536.9,625.78,31,4.235294117647059,4162.68
010da0602d7774602cd1b3f5fb7b709e,849.5,230.25,1,1.0,1079.75
01266d4c46afa519678d16a8b683d325,90.25,47.230000000000004,3,5.0,137.48000000000002
013900e863eace745d3ec7614cab5b1a,186.0,44.28,2,5.0,230.28
014c0679dd340a0e338872e7ec85666a,2731.0,249.62,5,3.1666666666666665,2980.62
014d9a685fd57276679edd00e07089e5,589.9,141.12,9,4.4,731.02
0176f73cc1195f367f7b32db1e5b3aa8,2842.5,827.71,25,4.2,3670.21
01c97ebb5cdac52891c0ed1c37ba0012,401.1,90.3,4,3.6666666666666665,491.40000000000003
01fd077212124329bac32490e8ef80d9,1208.0,575.36,31,4.3076923076923075,1783.3600000000001
01fdefa7697d26ad920e9e0346d4bd1b,4372.360000000001,998.61,44,4.325581395348837,5370.97
0241d4d5d36f10f80c644447315af0bd,23418.5,5112.7699999999995,164,4.294117647058823,28531.27
0249d282d911d23cb8b869ab49c99f53,22.0,12.79,1,5.0,34.79
02b72cdeb9cfcc429f1af6f4e3f3b737,522.65,225.99,4,4.75,748.64
02c988090b766852e088c69d7fb3b551,889.5,81.43,5,4.8,970.9300000000001
02d35243ea2e497335cd0f076b45675d,548.0,85.58,2,1.0,633.58
02dcd3e8e25bee036e32512bcf175493,1116.9,232.72,11,4.666666666666667,1349.6200000000001
02ecc2a19303f05e59ce133fd923fff7,2157.59,198.70000000000002,9,4.2,2356.29
02f5837340d7eb4f653d676c7256523a,705.9399999999999,172.12,6,4.333333333333333,878.06
02f623a8eb246f3c5f7c2f96462654e6,6378.0,829.63,44,4.558139534883721,7207.63
034b9387752bfa309f350a70cd45ffa3,96.0,144.26,8,4.5,240.26
038b75b729c8a9a04b0d07cba7eabe86,467.0,90.85,2,3.5,557.85
039b29ff3b3473435d0cd59040575de9,114.9,100.65,9,4.444444444444445,215.55
039e6ad9dae79614493083e241147386,12925.0,348.41999999999996,5,4.0,13273.42
03a2a6dcbe45d639c4dc2a0d24769c40,1078.41,172.25,9,4.111111111111111,1250.66
03bd479e1d9484cdb14104d3023f7321,359.70000000000005,57.72,3,4.333333333333333,417.4200000000001
0417b067eeab773d2f7061a726dc477f,1859.18,642.57,13,3.923076923076923,2501.75
04308b1ee57b6625f47df1d56f00eedf,46151.299999999996,2425.8,77,3.883116883116883,48577.1
0432ead42b6c8a0bdf68154add917fdf,357.6,77.5,4,4.0,435.1
044668ccd5316b12a7cf0d54a156e3e9,137.8,53.55,3,5.0,191.35000000000002
04843805947f0fc584fc1969b6e50fe7,1400.0,74.76,1,5.0,1474.76
048c2757535328e0d7dac690ad3c0aae,4241.98,687.95,23,3.9130434782608696,4929.929999999999
04aba03279157f6d4e0fe8ccaf21963c,714.0,107.11000000000001,4,4.25,821.11
04e38a233f726ef161074ab1c9b0399a,340.40000000000003,92.64,5,4.666666666666667,433.04
04ee0ec01589969663ba5967c0e0bdc0,289.49,24.83,1,5.0,314.32
0509040ea3fe50071181bbc359eb7738,800.3,247.74,15,4.5625,1048.04
054694fa03fe82cec4b7551487331d74,597.0,39.31,1,5.0,636.31
056b4ada5bbc2c50cc7842547dda6b51,9472.470000000001,1133.07,55,4.218181818181818,10605.54
0570350b23eda5444f8d1d9544932058,626.9,124.86,6,5.0,751.76
05730013efda596306417c3b09302475,952.0,216.67000000000002,4,5.0,1168.67
058cb5aeb36d7c0fcae20fc85d5e0a59,960.0,603.41,8,3.4444444444444446,1563.4099999999999
058fd0aa2bfdb2274e05e1ae971dabb6,2509.4,305.2,20,4.454545454545454,2814.6
05a48cc8859962767935ab9087417fbb,42.9,16.49,1,5.0,59.39
05aebce0b5c8f0d41b29b686f2d05fd3,74.99000000000001,45.89,2,5.0,120.88000000000001
05ca864204d09595ae591b93ea9cf93d,179.9,8.52,1,5.0,188.42000000000002
05d2173d43ea568aa0540eba70d2ca76,1879.44,682.74,22,4.0,2562.1800000000003
05e107217c7266362fd44b75b2cd4cc4,193.38000000000002,82.00999999999999,5,4.125,275.39
05f51e13da97139648b8125c31e5f51b,1064.79,170.44000000000003,2,4.666666666666667,1235.23
05ff92fedb5be47920fea08e501238b9,5563.6,532.36,12,4.75,6095.96
062c325cd6a2b87845fab56b4ec2eeae,133.22,23.86,2,5.0,157.07999999999998
06579cb253ecd5a3a12a9e6eb6bf8f47,1640.6000000000001,475.58000000000004,23,3.607142857142857,2116.1800000000003
066a6914e1ebf3ea95a216c73a986b91,992.48,322.06,14,4.3125,1314.54
0691148aee60ca47977c187804f935ae,3272.21,841.59,35,4.175,4113.8
0692610d8abe24f287e9fae90ea0bbee,173.99,31.73,4,4.0,205.72
06a2c3af7b3aee5d69171b0e14f0ee87,34709.189999999995,11552.78,369,4.005347593582887,46261.969999999994
06bb3a2fe5e7b7a845b13e8fb91bd944,540.1899999999999,149.36,6,4.5,689.55
06df0c10d34e459d9672bc77388742eb,9070.0,525.77,26,4.366666666666666,9595.77
06e5eefc71ec47ae763c5c6f8db7064f,14000.57,1429.0,54,3.875,15429.57
07017df32dc5f2f1d2801e579548d620,149.0,23.76,1,5.0,172.76
070d165398b553f3b4b851c216b8a358,2453.28,606.85,21,3.6666666666666665,3060.13
0725b8c0f3f906e58f70cbe76b7c748c,1201.23,482.14,10,3.0952380952380953,1683.37
0743a0239d764b9a0f959a57d07e36ab,336.96,66.26,4,4.75,403.21999999999997
077c5fae4bea9500e3737b16f71b9d3a,86.4,35.79,1,5.0,122.19
0791d9fc1e30678ecf03d3e55fa108d3,842.0,186.99,5,2.727272727272727,1028.99
079d295dcbf06ee8bb1b65ba964eb2b6,349.3,190.79,5,4.8,540.09
07bf9669d84d1f11be443a9dd938f698,732.0,328.15,7,2.4,1060.15
07d75e33f2750d97d467fb57e4dfdd8a,722.4,37.19,2,2.5,759.5899999999999
07de60b03d150fb3ea09eab5da5e4c8b,539.3000000000001,135.29,7,4.714285714285714,674.59
07e8e8fc5222bb358e6f259da3197074,25.9,15.28,1,3.0,41.18
080102cd0a76b09e0dcf55fcacc60e05,4159.96,1665.33,91,4.474226804123711,5825.29
